Project_ID,Project_Name,RFI_ID,Status,Created_Date,Due_Date,Closed_Date,Assigned_To,Priority,Description,Days_Open,Cost_Impact,Location,Approval_Status,Last_Updated
P001,Downtown Office Tower,RFI-001,Open,2026-01-15,2026-02-15,,John Smith,High,Structural review needed for floor 12,161,"$45,000",Site A - Downtown,Approved,2026-06-20
P001,Downtown Office Tower,RFI-001,Open,2026-01-15,2026-02-15,,John Smith,High,Structural review needed for floor 12,161,"$45,000",Site A - Downtown,Approved,2026-06-20
project-2,Harbor Bridge Expansion,rfi002,CLOSED,2026-02-10,2026-03-01,2026-02-28,J Smith,Medium,Material specs,18,"$12,500",Harbor District,approved,2026-03-01
P003,Riverside Condos,RFI-3,Pending,2026-03-05,2026-01-20,,Sarah Johnson,Hgh,HVAC clarification needed,112,"$8,900",Riverside,Pending,2026-06-15
4,Metro Station Upgrade,RFI-004,open,2026-04-01,2026-05-01,,mike wilson,Low,,85,,Metro Line B,APPROVED,2026-06-10
P001,Downtown Office Towerr,RFI-005,Open,2026-01-20,2026-02-20,,John Smith,High,Elevator shaft dimensions,156,"$67,000",Site A - Downtown,Approved,2026-06-18
project-2,Harbor Bridge Expanson,rfi-006,closed,2026-02-15,2026-03-15,2026-02-10,j smith,med,Foundation query,-5,"$15,000",Harbor District,Rejected,2026-02-10
P003,River Side Condos,7,OPEN,2026-03-10,,,S Johnson,Medium,Plumbing specs needed,107,"$5,600",riverside,pending,2026-06-01
P008,Airport Terminal C,RFI-008,Open,2026-04-15,2026-05-30,,David Brown,High,Security checkpoint layout,71,"$125,000",Airport Zone C,Approved,2026-06-22
9,School Renovation,rfi009,,2026-05-01,2026-06-01,,Lisa Chen,,Classroom modifications,55,"$3,200",Lincoln Elementary,,2026-06-15
P010,Hospital Wing Addition,RFI-010,Open,2026-01-25,2026-03-01,,John Smith,High,Critical - patient room layout,151,"$890,000",Memorial Hospital,Approved,2026-06-24
project-11,Shopping Mall Phase 2,RFI011,Pending,2026-02-20,2026-04-01,,Sarah Johnson,Medium,Escalator placement,125,"$45,000",Westside Mall,Pending,2026-05-30
P012,Parking Garage,rfi-12,CLOSED,2026-03-15,2026-04-15,2026-04-10,Mike Wilson,Low,Lighting specs,26,"$8,500",Downtown Lot B,approved,2026-04-10
P001,Downtown Office Tower,RFI-013,Open,2026-04-01,2026-05-15,,j smith,Hihg,Facade material change request,85,"$234,000",Site A - downtown,Pending,2026-06-20
14,Water Treatment Plant,RFI-014,open,2026-04-10,2026-05-10,,David Brown,High,,76,"$156,000",Industrial Park,APPROVED,2026-06-18
P015,Convention Center,15,Pending,2026-01-05,2026-02-28,,Lisa Chen,Medium,Audio system requirements,171,"$67,800",Convention District,Pending,2026-06-01
project-2,Harbor Bridge Expansion,RFI-016,Open,2026-05-01,2026-06-15,,J. Smith,med,Cable tension specs,55,"$89,000",harbor district,Approved,2026-06-23
P003,Riverside Condos,rfi017,CLOSED,2026-02-01,2026-03-15,2026-03-10,sarah johnson,Low,Paint color approval,37,"$2,300",Riverside,Approved,2026-03-10
P018,Fire Station #7,RFI-018,Open,2026-03-20,2026-04-30,,Mike Wilson,High,Apparatus bay dimensions,97,"$34,500",District 7,Approved,2026-06-15
19,Library Expansion,rfi-019,Pending,2026-04-25,2026-06-01,,John Smith,Medium,Shelving layout,61,"$12,000",Central Library,pending,2026-06-10
P020,City Hall Renovation,RFI-020,Open,2026-02-14,2026-04-01,,David Brown,High,Council chamber acoustics,131,"$78,000",City Center,Approved,2026-06-20
P001,Downtown Office tower,RFI-021,closed,2026-05-10,2026-06-10,2026-06-05,John Smith,Low,Signage placement,26,"$4,500",Site A - Downtown,Approved,2026-06-05
project-22,Residential Complex Alpha,22,OPEN,2026-01-30,2026-03-15,,S. Johnson,High,Foundation concerns - URGENT,146,"$445,000",Alpha Site,Approved,2026-06-24
P023,Tech Campus Building B,RFI-023,Open,2026-03-01,2026-04-15,,Lisa Chen,Medium,Server room cooling,116,"$89,000",Tech Park,Pending,2026-06-18
24,Warehouse Distribution,rfi024,Pending,2026-04-05,,,mike wilson,,Loading dock height,81,"$23,000",Industrial Zone,PENDING,2026-06-01
P025,Sports Arena,RFI-025,Open,2026-02-25,2026-04-10,,David Brown,Hgh,Scoreboard mounting,120,"$156,000",Sports Complex,Approved,2026-06-22
P003,Riverside Condos,RFI-026,open,2026-05-15,2026-06-30,,Sarah Johnson,Medium,Balcony railing specs,41,"$18,500",Riverside,Pending,2026-06-20
project-2,Harbor Bridge expansion,rfi-027,CLOSED,2026-03-10,2026-04-20,2026-04-18,J Smith,High,Traffic control plan,39,"$34,000",Harbor District,approved,2026-04-18
P028,Senior Living Center,RFI-028,Open,2026-04-20,2026-05-25,,John Smith,High,Accessibility compliance,66,"$45,000",Sunset Village,Approved,2026-06-15
29,Office Park Phase 3,29,Pending,2026-01-10,2026-02-28,,Lisa Chen,med,Parking allocation,166,"$12,000",Business Park,Pending,2026-05-30
P030,Museum Annex,RFI-030,Open,2026-02-05,2026-03-20,,David Brown,Medium,Display case specs,140,"$67,000",Cultural District,Approved,2026-06-18
P001,Downtown Office Tower,rfi031,OPEN,2026-05-20,2026-07-01,,j. smith,High,Emergency stairwell width,36,"$89,000",Site A - Downtown,Pending,2026-06-24
project-32,Retail Strip Center,RFI-032,closed,2026-03-25,2026-05-01,2026-04-28,Sarah Johnson,Low,Storefront glazing,34,"$23,500",Main Street,Approved,2026-04-28
P033,Data Center,RFI-033,Open,2026-04-12,2026-05-20,,Mike Wilson,High,Power redundancy,74,"$567,000",Tech Park,APPROVED,2026-06-22
34,Community Pool,rfi-034,Pending,2026-05-05,2026-06-20,,Lisa Chen,Medium,Filtration system,51,"$78,000",Recreation Center,Pending,2026-06-15
P035,Hotel Tower,35,Open,2026-01-18,2026-03-01,,David Brown,Hihg,Guest room layout changes,158,"$234,000",Tourist District,Approved,2026-06-20
P003,riverside condos,RFI-036,CLOSED,2026-02-28,2026-04-15,2026-02-20,s johnson,Medium,Landscaping plan,-8,"$15,600",Riverside,Approved,2026-02-20
project-2,Harbor Bridge Expansion,rfi037,Open,2026-05-25,2026-07-10,,J Smith,High,Pedestrian walkway width,31,"$145,000",harbor District,Pending,2026-06-23
P038,Restaurant Row,RFI-038,Pending,2026-03-15,2026-05-01,,John Smith,Low,Outdoor seating area,102,"$12,000",Dining District,pending,2026-06-01
39,Police Headquarters,RFI-039,Open,2026-04-08,2026-05-15,,Mike Wilson,High,Evidence storage layout,78,"$89,000",Government Center,Approved,2026-06-18
P040,University Science Building,RFI-040,Open,2026-02-12,2026-04-01,,Sarah Johnson,High,Lab ventilation requirements,133,"$234,000",University Campus,Approved,2026-06-24
P001,Downtown Office Tower,rfi-041,Pending,2026-05-30,2026-07-15,,John Smith,Medium,Tenant improvement specs,26,"$56,000",Site A - Downtown,Pending,2026-06-22
project-42,Assisted Living Facility,RFI-042,closed,2026-01-22,2026-03-10,2026-03-05,Lisa Chen,Medium,Nurse call system,42,"$34,500",Care Village,approved,2026-03-05
